timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 22:57:42.698, NVIDIA GeForce RTX 3080, 100 %, 78 %, 5488 MiB, 10240 MiB, 74, 304.32 W
2025/12/18 22:57:43.698, NVIDIA GeForce RTX 3080, 100 %, 75 %, 5528 MiB, 10240 MiB, 73, 305.98 W
2025/12/18 22:57:44.698, NVIDIA GeForce RTX 3080, 100 %, 72 %, 5560 MiB, 10240 MiB, 74, 305.61 W
2025/12/18 22:57:45.698, NVIDIA GeForce RTX 3080, 100 %, 64 %, 5598 MiB, 10240 MiB, 73, 303.96 W
2025/12/18 22:57:46.699, NVIDIA GeForce RTX 3080, 100 %, 74 %, 5640 MiB, 10240 MiB, 73, 300.44 W
2025/12/18 22:57:47.699, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5704 MiB, 10240 MiB, 74, 307.57 W
2025/12/18 22:57:48.699, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5772 MiB, 10240 MiB, 74, 306.38 W
2025/12/18 22:57:49.699, NVIDIA GeForce RTX 3080, 100 %, 76 %, 5814 MiB, 10240 MiB, 74, 306.18 W
2025/12/18 22:57:50.699, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5838 MiB, 10240 MiB, 74, 305.47 W
2025/12/18 22:57:51.699, NVIDIA GeForce RTX 3080, 100 %, 80 %, 5894 MiB, 10240 MiB, 74, 305.47 W
2025/12/18 22:57:52.699, NVIDIA GeForce RTX 3080, 100 %, 77 %, 5958 MiB, 10240 MiB, 74, 303.71 W
2025/12/18 22:57:53.700, NVIDIA GeForce RTX 3080, 100 %, 79 %, 5996 MiB, 10240 MiB, 74, 307.76 W
2025/12/18 22:57:54.700, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6048 MiB, 10240 MiB, 74, 306.67 W
2025/12/18 22:57:55.700, NVIDIA GeForce RTX 3080, 100 %, 76 %, 6108 MiB, 10240 MiB, 74, 305.54 W
2025/12/18 22:57:56.700, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6162 MiB, 10240 MiB, 74, 306.49 W
2025/12/18 22:57:57.700, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6222 MiB, 10240 MiB, 74, 304.80 W
2025/12/18 22:57:58.700, NVIDIA GeForce RTX 3080, 100 %, 75 %, 6290 MiB, 10240 MiB, 74, 307.44 W
2025/12/18 22:57:59.700, NVIDIA GeForce RTX 3080, 100 %, 76 %, 6334 MiB, 10240 MiB, 74, 306.89 W
2025/12/18 22:58:00.701, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6372 MiB, 10240 MiB, 74, 307.31 W
2025/12/18 22:58:01.701, NVIDIA GeForce RTX 3080, 100 %, 76 %, 6418 MiB, 10240 MiB, 74, 306.43 W
2025/12/18 22:58:02.701, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6460 MiB, 10240 MiB, 74, 306.06 W
2025/12/18 22:58:03.701, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6522 MiB, 10240 MiB, 74, 305.70 W
2025/12/18 22:58:04.701, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6560 MiB, 10240 MiB, 74, 305.97 W
2025/12/18 22:58:05.701, NVIDIA GeForce RTX 3080, 100 %, 77 %, 6598 MiB, 10240 MiB, 74, 306.79 W
2025/12/18 22:58:06.702, NVIDIA GeForce RTX 3080, 100 %, 78 %, 6626 MiB, 10240 MiB, 74, 305.40 W
2025/12/18 22:58:07.702, NVIDIA GeForce RTX 3080, 100 %, 76 %, 6668 MiB, 10240 MiB, 74, 305.53 W
2025/12/18 22:58:08.702, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6700 MiB, 10240 MiB, 74, 306.05 W
2025/12/18 22:58:09.702, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6700 MiB, 10240 MiB, 74, 306.44 W
2025/12/18 22:58:10.702, NVIDIA GeForce RTX 3080, 100 %, 77 %, 6702 MiB, 10240 MiB, 74, 306.70 W
2025/12/18 22:58:11.702, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6708 MiB, 10240 MiB, 74, 306.28 W
2025/12/18 22:58:12.702, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6730 MiB, 10240 MiB, 74, 307.37 W
2025/12/18 22:58:13.703, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6730 MiB, 10240 MiB, 74, 306.70 W
2025/12/18 22:58:14.703, NVIDIA GeForce RTX 3080, 100 %, 81 %, 6730 MiB, 10240 MiB, 74, 307.17 W
2025/12/18 22:58:15.703, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6730 MiB, 10240 MiB, 74, 306.90 W
2025/12/18 22:58:16.703, NVIDIA GeForce RTX 3080, 100 %, 78 %, 6732 MiB, 10240 MiB, 74, 307.08 W
2025/12/18 22:58:17.703, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6732 MiB, 10240 MiB, 74, 306.54 W
2025/12/18 22:58:18.703, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6736 MiB, 10240 MiB, 74, 306.07 W
2025/12/18 22:58:19.704, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6746 MiB, 10240 MiB, 74, 307.45 W
2025/12/18 22:58:20.704, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6748 MiB, 10240 MiB, 74, 305.98 W
2025/12/18 22:58:21.704, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6760 MiB, 10240 MiB, 74, 307.79 W
2025/12/18 22:58:22.704, NVIDIA GeForce RTX 3080, 100 %, 82 %, 6778 MiB, 10240 MiB, 74, 306.23 W
2025/12/18 22:58:23.704, NVIDIA GeForce RTX 3080, 100 %, 82 %, 6778 MiB, 10240 MiB, 74, 308.12 W
2025/12/18 22:58:24.704, NVIDIA GeForce RTX 3080, 100 %, 81 %, 6778 MiB, 10240 MiB, 74, 307.01 W
2025/12/18 22:58:25.705, NVIDIA GeForce RTX 3080, 100 %, 80 %, 6778 MiB, 10240 MiB, 74, 306.54 W
2025/12/18 22:58:26.705, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6778 MiB, 10240 MiB, 74, 306.37 W
2025/12/18 22:58:27.705, NVIDIA GeForce RTX 3080, 100 %, 79 %, 6778 MiB, 10240 MiB, 74, 305.34 W
2025/12/18 22:58:28.705, NVIDIA GeForce RTX 3080, 100 %, 78 %, 6778 MiB, 10240 MiB, 74, 305.20 W
2025/12/18 22:58:29.705, NVIDIA GeForce RTX 3080, 100 %, 81 %, 6778 MiB, 10240 MiB, 74, 307.15 W
