timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:19:49.335, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2968 MiB, 10240 MiB, 71, 311.63 W
2025/12/18 20:19:50.335, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2968 MiB, 10240 MiB, 71, 311.85 W
2025/12/18 20:19:51.335, NVIDIA GeForce RTX 3080, 99 %, 82 %, 2968 MiB, 10240 MiB, 71, 310.48 W
2025/12/18 20:19:52.336, NVIDIA GeForce RTX 3080, 99 %, 82 %, 2968 MiB, 10240 MiB, 71, 310.62 W
2025/12/18 20:19:53.336, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2968 MiB, 10240 MiB, 71, 309.70 W
2025/12/18 20:19:54.336, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2969 MiB, 10240 MiB, 71, 311.60 W
2025/12/18 20:19:55.336, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2968 MiB, 10240 MiB, 71, 312.68 W
2025/12/18 20:19:56.336, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2969 MiB, 10240 MiB, 72, 313.59 W
2025/12/18 20:19:57.336, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2969 MiB, 10240 MiB, 71, 310.74 W
2025/12/18 20:19:58.337, NVIDIA GeForce RTX 3080, 99 %, 87 %, 2969 MiB, 10240 MiB, 71, 313.85 W
2025/12/18 20:19:59.337, NVIDIA GeForce RTX 3080, 99 %, 87 %, 2969 MiB, 10240 MiB, 72, 313.35 W
2025/12/18 20:20:00.337, NVIDIA GeForce RTX 3080, 98 %, 89 %, 2969 MiB, 10240 MiB, 71, 311.02 W
2025/12/18 20:20:01.337, NVIDIA GeForce RTX 3080, 99 %, 90 %, 2969 MiB, 10240 MiB, 71, 313.08 W
2025/12/18 20:20:02.337, NVIDIA GeForce RTX 3080, 99 %, 89 %, 2969 MiB, 10240 MiB, 72, 313.27 W
2025/12/18 20:20:03.337, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2969 MiB, 10240 MiB, 72, 312.47 W
2025/12/18 20:20:04.337, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2969 MiB, 10240 MiB, 72, 313.99 W
2025/12/18 20:20:05.338, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2969 MiB, 10240 MiB, 72, 313.42 W
2025/12/18 20:20:06.338, NVIDIA GeForce RTX 3080, 98 %, 85 %, 2969 MiB, 10240 MiB, 72, 314.22 W
2025/12/18 20:20:07.338, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2969 MiB, 10240 MiB, 71, 312.66 W
2025/12/18 20:20:08.338, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2969 MiB, 10240 MiB, 72, 311.98 W
2025/12/18 20:20:09.338, NVIDIA GeForce RTX 3080, 98 %, 84 %, 2969 MiB, 10240 MiB, 72, 313.17 W
2025/12/18 20:20:10.338, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2969 MiB, 10240 MiB, 72, 312.20 W
2025/12/18 20:20:11.338, NVIDIA GeForce RTX 3080, 99 %, 86 %, 2969 MiB, 10240 MiB, 72, 312.77 W
2025/12/18 20:20:12.339, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2969 MiB, 10240 MiB, 72, 311.77 W
2025/12/18 20:20:13.339, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2969 MiB, 10240 MiB, 72, 312.11 W
2025/12/18 20:20:14.339, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2969 MiB, 10240 MiB, 72, 314.07 W
2025/12/18 20:20:15.339, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2969 MiB, 10240 MiB, 72, 312.42 W
2025/12/18 20:20:16.339, NVIDIA GeForce RTX 3080, 99 %, 86 %, 2969 MiB, 10240 MiB, 72, 312.31 W
2025/12/18 20:20:17.339, NVIDIA GeForce RTX 3080, 97 %, 88 %, 2969 MiB, 10240 MiB, 72, 311.41 W
2025/12/18 20:20:18.340, NVIDIA GeForce RTX 3080, 98 %, 89 %, 2969 MiB, 10240 MiB, 72, 312.87 W
2025/12/18 20:20:19.340, NVIDIA GeForce RTX 3080, 98 %, 88 %, 2962 MiB, 10240 MiB, 72, 312.65 W
2025/12/18 20:20:20.340, NVIDIA GeForce RTX 3080, 99 %, 85 %, 2962 MiB, 10240 MiB, 72, 311.72 W
